,Season,Episode,Prior Season Present?
0,2,19,FALSE
1,3,18,TRUE
2,4,13,TRUE
3,5,13,TRUE
4,6,13,TRUE
5,7,8,TRUE
6,8,22,TRUE
7,10,13,FALSE
8,11,8,TRUE
9,12,13,TRUE
10,13,13,TRUE
11,14,13,TRUE
12,15,13,TRUE
13,16,13,TRUE
14,17,13,TRUE
15,18,13,TRUE
16,19,13,TRUE
17,20,13,TRUE
18,21,13,TRUE
19,22,13,TRUE
20,23,13,TRUE
21,24,13,TRUE
22,25,13,TRUE
23,26,13,TRUE
24,27,13,TRUE
25,28,13,TRUE
26,29,13,TRUE
27,30,13,TRUE
28,31,13,TRUE
29,33,13,FALSE
30,34,13,TRUE
31,35,13,TRUE
32,36,13,TRUE
33,37,13,TRUE
34,38,13,TRUE
35,39,13,TRUE
36,40,13,TRUE
37,41,13,TRUE
38,42,13,TRUE
39,43,13,TRUE
40,44,13,TRUE
41,45,13,TRUE
42,46,13,TRUE
43,47,13,TRUE
44,48,13,TRUE
45,49,13,TRUE
46,51,13,FALSE
47,52,13,TRUE
48,53,13,TRUE
49,54,13,TRUE
50,55,13,TRUE
51,56,13,TRUE
52,57,13,TRUE
53,58,13,TRUE
54,59,13,TRUE
55,60,13,TRUE
56,61,13,TRUE
57,62,13,TRUE
58,64,13,FALSE
59,65,13,TRUE
60,66,13,TRUE
61,67,13,TRUE
62,68,13,TRUE
63,69,13,TRUE
64,70,13,TRUE
65,71,13,TRUE
66,72,13,TRUE
67,73,13,TRUE
68,74,13,TRUE
69,75,13,TRUE
70,76,13,TRUE
71,77,13,TRUE
72,78,13,TRUE
73,79,13,TRUE
74,80,13,TRUE
75,81,13,TRUE
76,82,13,TRUE
77,83,13,TRUE
78,84,13,TRUE
79,85,13,TRUE
80,86,13,TRUE
81,87,13,TRUE
82,88,13,TRUE
83,89,13,TRUE
84,90,13,TRUE
85,91,13,TRUE
86,92,13,TRUE
87,93,13,TRUE
88,94,13,TRUE
89,95,13,TRUE
90,97,13,FALSE
91,98,13,TRUE
92,99,13,TRUE
93,101,13,FALSE
94,102,13,TRUE
95,103,13,TRUE
96,104,13,TRUE
97,105,13,TRUE
98,106,13,TRUE
99,107,26,TRUE
100,109,13,FALSE
101,110,13,TRUE
102,111,13,TRUE
103,112,13,TRUE
104,113,13,TRUE
105,114,13,TRUE
106,115,13,TRUE
107,116,13,TRUE
108,118,13,FALSE
109,119,13,TRUE
110,120,13,TRUE
111,121,13,TRUE
112,123,13,FALSE
113,125,13,FALSE
114,126,14,TRUE
115,127,26,TRUE
116,128,1,TRUE
117,130,22,FALSE
118,131,13,TRUE
119,132,13,TRUE
120,133,13,TRUE
121,134,13,TRUE
122,135,15,TRUE
123,136,13,TRUE
124,137,13,TRUE
125,138,13,TRUE
126,139,12,TRUE
127,140,13,TRUE
128,141,13,TRUE
129,142,13,TRUE
130,143,13,TRUE
131,144,26,TRUE
132,145,2,TRUE
133,146,14,TRUE
134,147,13,TRUE
135,148,13,TRUE
136,149,14,TRUE
137,150,1,TRUE
138,151,14,TRUE
139,153,13,FALSE
140,154,13,TRUE
141,155,13,TRUE
142,156,13,TRUE
143,157,13,TRUE
144,158,13,TRUE
145,159,13,TRUE
146,160,13,TRUE
147,161,9,TRUE
148,162,1,TRUE
149,163,1,TRUE
150,164,1,TRUE
151,165,1,TRUE
152,166,1,TRUE
153,167,1,TRUE
