,Season,Episode
0,2,19
1,3,18
2,4,13
3,5,13
4,6,13
5,7,8
6,8,22
7,10,13
8,11,8
9,12,13
10,13,13
11,14,13
12,15,13
13,16,13
14,17,13
15,18,13
16,19,13
17,20,13
18,21,13
19,22,13
20,23,13
21,24,13
22,25,13
23,26,13
24,27,13
25,28,13
26,29,13
27,30,13
28,31,13
29,33,13
30,34,13
31,35,13
32,36,13
33,37,13
34,38,13
35,39,13
36,40,13
37,41,13
38,42,13
39,43,13
40,44,13
41,45,13
42,46,13
43,47,13
44,48,13
45,49,13
46,51,13
47,52,13
48,53,13
49,54,13
50,55,13
51,56,13
52,57,13
53,58,13
54,59,13
55,60,13
56,61,13
57,62,13
58,64,13
59,65,13
60,66,13
61,67,13
62,68,13
63,69,13
64,70,13
65,71,13
66,72,13
67,73,13
68,74,13
69,75,13
70,76,13
71,77,13
72,78,13
73,79,13
74,80,13
75,81,13
76,82,13
77,83,13
78,84,13
79,85,13
80,86,13
81,87,13
82,88,13
83,89,13
84,90,13
85,91,13
86,92,13
87,93,13
88,94,13
89,95,13
90,97,13
91,98,13
92,99,13
93,101,13
94,102,13
95,103,13
96,104,13
97,105,13
98,106,13
99,107,26
100,109,13
101,110,13
102,111,13
103,112,13
104,113,13
105,114,13
106,115,13
107,116,13
108,118,13
109,119,13
110,120,13
111,121,13
112,123,13
113,125,13
114,126,14
115,127,26
116,128,1
117,130,22
118,131,13
119,132,13
120,133,13
121,134,13
122,135,15
123,136,13
124,137,13
125,138,13
126,139,12
127,140,13
128,141,13
129,142,13
130,143,13
131,144,26
132,145,2
133,146,14
134,147,13
135,148,13
136,149,14
137,150,1
138,151,14
139,153,13
140,154,13
141,155,13
142,156,13
143,157,13
144,158,13
145,159,13
146,160,13
147,161,9
148,162,1
149,163,1
150,164,1
151,165,1
152,166,1
153,167,1
